ensembl_transcript_id_version,gene_name
ENST00000641515,OR4F5
ENST00000426406,OR4F29
ENST00000332831,OR4F16
ENST00000616016,SAMD11
ENST00000618323,SAMD11
ENST00000342066,SAMD11
ENST00000327044,NOC2L
ENST00000338591,KLHL17
ENST00000622660,KLHL17
ENST00000379410,PLEKHN1
ENST00000379407,PLEKHN1
ENST00000379409,PLEKHN1
ENST00000341290,PERM1
ENST00000433179,PERM1
ENST00000428771,HES4
ENST000003049521,HES4
ENST00000484667,HES4
ENST00000624697,ISG15
ENST00000649529,ISG15
ENST00000379370,AGRN
ENST00000620552,AGRN
ENST00000453464,RNF223
ENST00000379339,C1orf159
ENST00000421241,C1orf159
ENST00000379320,C1orf159
ENST00000379319,C1orf159
ENST00000379290,TTLL10
ENST00000379289,TTLL10
ENST00000379288,TTLL10
ENST000003285960,TNFRSF18
ENST00000379268,TNFRSF18
ENST00000486728,TNFRSF18
ENST00000379265,TNFRSF18
ENST00000379236,TNFRSF4
ENST00000660930,SDF4
ENST000003600012,SDF4
ENST000002637412,SDF4
ENST00000379198,B3GALT6
ENST00000330388,C1QTNF12
ENST000003494311,UBE2J2
ENST00000347370,UBE2J2
ENST00000400929,UBE2J2
ENST00000360466,UBE2J2
ENST00000400930,UBE2J2
ENST000003791160,SCNN1D
ENST00000338555,SCNN1D
ENST00000400928,SCNN1D
ENST000003254252,SCNN1D
ENST000003547000,ACAP3
ENST00000353662,ACAP3
ENST000003790310,PUSL1
ENST00000540437,INTS11
ENST00000545578,INTS11
ENST00000620829,INTS11
ENST00000618806,INTS11
ENST00000435064,INTS11
ENST00000411962,INTS11
ENST00000421495,INTS11
ENST00000419704,INTS11
ENST00000450926,INTS11
ENST00000429572,INTS11
ENST00000343938,CPTP
ENST00000339381,TAS1R3
ENST00000378891,DVL1
ENST000003788880,DVL1
ENST00000610709,DVL1
ENST00000342753,MXRA8
ENST000003092121,MXRA8
ENST00000445648,MXRA8
ENST00000477278,MXRA8
ENST00000338370,AURKAIP1
ENST00000338338,AURKAIP1
ENST00000321751,AURKAIP1
ENST00000378853,AURKAIP1
ENST00000400809,CCNL2
ENST00000408952,CCNL2
ENST00000408918,CCNL2
ENST000003448432,MRPL20
ENST00000482352,MRPL20
ENST00000537107,ANKRD65
ENST00000520296,ANKRD65
ENST00000427211,ANKRD65
ENST00000454272,ANKRD65
ENST00000442470,ANKRD65
ENST00000378821,TMEM88B
ENST00000338660,VWA1
ENST00000476993,VWA1
ENST00000378785,ATAD3C
ENST00000673477,ATAD3B
ENST00000308647,ATAD3B
ENST00000378756,ATAD3A
ENST00000378755,ATAD3A
ENST00000536055,ATAD3A
ENST00000378733,TMEM240
ENST00000425828,TMEM240
ENST00000624426,TMEM240
ENST00000291386,SSU72
ENST00000359060,SSU72
ENST00000422725,FNDC10
ENST000003558260,MIB2
ENST00000505820,MIB2
ENST00000518681,MIB2
ENST00000520777,MIB2
ENST00000378712,MIB2
ENST00000504599,MIB2
ENST00000378708,MIB2
ENST000003560260,MMP23B
ENST00000378675,MMP23B
ENST000003418321,CDK11B
ENST00000407249,CDK11B
ENST00000340677,CDK11B
ENST00000626918,CDK11B
ENST00000629289,CDK11B
ENST00000629312,CDK11B
ENST00000614300,SLC35E2B
ENST00000617444,SLC35E2B
ENST00000611123,SLC35E2B
ENST00000404249,CDK11A
ENST00000356200,CDK11A
ENST00000378638,CDK11A
ENST00000357760,CDK11A
ENST00000358779,CDK11A
ENST00000378633,CDK11A
ENST00000341426,NADK
ENST00000341991,NADK
ENST00000378625,NADK
ENST00000610897,GNB1
ENST00000615252,GNB1
ENST00000378609,GNB1
ENST00000307786,CALML6
ENST00000378602,TMEM52
ENST00000310991,TMEM52
ENST00000493964,CFAP74
ENST00000682832,CFAP74
ENST00000378585,GABRD
ENST00000640067,GABRD
ENST00000638771,GABRD
ENST00000640949,GABRD
ENST00000400921,PRKCZ
ENST00000400919,FAAP20
ENST00000378546,FAAP20
ENST00000378536,SKI
ENST00000378531,MORN1
ENST00000378529,MORN1
ENST00000378513,RER1
ENST00000378518,RER1
ENST00000605895,RER1
ENST00000378512,RER1
ENST00000488353,RER1
ENST00000288774,PEX10
ENST00000447513,PEX10
ENST00000507596,PEX10
ENST00000449969,PLCH2
ENST00000378486,PLCH2
ENST00000419816,PLCH2
ENST00000378466,PANK4
ENST00000435556,PANK4
ENST00000378453,HES5
ENST00000409119,TNFRSF14
ENST00000355716,TNFRSF14
ENST00000444521,PRXL2B
ENST00000378425,PRXL2B
ENST00000419916,PRXL2B
ENST00000378424,PRXL2B
ENST00000537325,PRXL2B
ENST00000378427,PRXL2B
ENST00000378412,MMEL1
ENST00000502556,MMEL1
ENST00000401095,TTC34
ENST00000637179,TTC34
ENST00000378404,ACTRT2
ENST00000511072,PRDM16
ENST00000378391,PRDM16
ENST000002707220,PRDM16
ENST00000514189,PRDM16
ENST00000378378,ARHGEF16
ENST00000378373,ARHGEF16
ENST00000378371,ARHGEF16
ENST00000356575,MEGF6
ENST00000294599,MEGF6
ENST00000378344,TPRG1L
ENST00000344579,TPRG1L
ENST00000378322,WRAP73
ENST000002707082,WRAP73
ENST00000378295,TP73
ENST00000604074,TP73
ENST00000354437,TP73
ENST00000357733,TP73
ENST00000346387,TP73
ENST00000603362,TP73
ENST00000604479,TP73
ENST00000378285,TP73
ENST00000378280,TP73
ENST00000378288,TP73
ENST00000378290,TP73
ENST00000294600,CCDC27
ENST00000642557,SMIM1
ENST00000561886,SMIM1
ENST00000444870,SMIM1
ENST00000378251,LRRC47
ENST00000676052,CEP104
ENST00000378230,CEP104
ENST00000674623,CEP104
ENST00000675677,CEP104
ENST00000675666,CEP104
ENST00000674558,CEP104
ENST00000674544,CEP104
ENST00000675375,CEP104
ENST00000428079,CEP104
ENST00000461667,CEP104
ENST00000494653,CEP104
ENST00000378223,CEP104
ENST00000625756,DFFB
ENST00000338895,DFFB
ENST00000378209,DFFB
ENST00000361605,C1orf174
ENST00000680169,C1orf174
ENST00000680535,C1orf174
ENST00000378191,AJAP1
ENST00000378190,AJAP1
ENST00000378156,NPHP4
ENST00000622020,NPHP4
ENST00000378097,KCNAB2
ENST00000666163,KCNAB2
ENST00000671676,KCNAB2
ENST00000653262,KCNAB2
ENST00000341524,KCNAB2
ENST00000462676,KCNAB2
ENST00000428161,KCNAB2
ENST00000352527,KCNAB2
ENST00000663169,KCNAB2
ENST00000656198,KCNAB2
ENST00000602612,KCNAB2
ENST00000666299,KCNAB2
ENST00000652845,KCNAB2
ENST00000669250,KCNAB2
ENST00000164247,KCNAB2
ENST00000668559,KCNAB2
ENST00000378092,KCNAB2
ENST00000472700,KCNAB2
ENST00000378083,KCNAB2
ENST00000458166,KCNAB2
ENST00000662363,KCNAB2
ENST00000262450,CHD5
ENST00000484532,RP1-120G22.12
ENST00000234875,RPL22
ENST00000497965,RPL22
ENST00000377939,RNF207
ENST000003438130,ICMT
ENST00000377898,HES3
ENST00000377893,GPR153
ENST00000608083,ACOT7
ENST00000361521,ACOT7
ENST00000377842,ACOT7
ENST00000377845,ACOT7
ENST00000377855,ACOT7
ENST00000545482,ACOT7
ENST00000377837,HES2
ENST00000377836,HES2
ENST00000377834,HES2
ENST00000487437,HES2
ENST00000489730,HES2
ENST00000645284,ESPN
ENST00000636330,ESPN
ENST00000416731,ESPN
ENST00000461727,ESPN
ENST00000356876,TNFRSF25
ENST00000377782,TNFRSF25
ENST00000351959,TNFRSF25
ENST00000348333,TNFRSF25
ENST00000351748,TNFRSF25
ENST00000535355,PLEKHG5
ENST00000400913,PLEKHG5
ENST00000377725,PLEKHG5
ENST000003408500,PLEKHG5
ENST00000377728,PLEKHG5
ENST00000377748,PLEKHG5
ENST00000377732,PLEKHG5
ENST00000400915,PLEKHG5
ENST00000673471,PLEKHG5
ENST00000377740,PLEKHG5
ENST00000675694,PLEKHG5
ENST00000675123,PLEKHG5
ENST00000537245,PLEKHG5
ENST00000377705,NOL9
ENST000003331721,TAS1R1
ENST00000351136,TAS1R1
ENST00000377674,ZBTB48
ENST00000377658,KLHL21
ENST00000377663,KLHL21
ENST00000467612,KLHL21
ENST00000610898,KLHL21
ENST00000463043,KLHL21
ENST00000377648,PHF13
ENST00000054650,THAP3
ENST000003078960,THAP3
ENST00000377627,THAP3
ENST000003775770,DNAJC11
ENST000002944011,DNAJC11
ENST000003036352,CAMTA1
ENST00000473578,CAMTA1
ENST00000557126,CAMTA1
ENST00000467404,CAMTA1
ENST00000476864,CAMTA1
ENST000000546661,VAMP3
ENST00000470357,VAMP3
ENST00000377532,PER3
ENST00000377541,PER3
ENST00000613533,PER3
ENST00000614998,PER3
ENST00000361923,PER3
ENST00000377516,UTS2
ENST000003616960,UTS2
ENST00000054668,UTS2
ENST00000377507,TNFRSF9
ENST00000615230,TNFRSF9
ENST00000493678,PARK7
ENST00000377493,PARK7
ENST000003386390,PARK7
ENST00000377491,PARK7
ENST00000377488,PARK7
ENST00000474874,ERRFI1
ENST000003774820,ERRFI1
ENST00000467067,ERRFI1
ENST00000469499,ERRFI1
ENST00000471889,SLC45A1
ENST00000289877,SLC45A1
ENST00000337907,RERE
ENST00000400908,RERE
ENST00000377464,RERE
ENST00000400907,RERE
ENST00000476556,RERE
ENST00000659924,RERE
ENST000002345900,ENO1
ENST00000647408,ENO1
ENST00000377443,CA6
ENST00000480186,CA6
ENST00000377436,CA6
ENST00000377442,CA6
ENST00000400906,SLC2A7
ENST00000377424,SLC2A5
ENST00000377414,SLC2A5
ENST00000377411,GPR157
ENST00000377403,H6PD
ENST00000602477,H6PD
ENST000003280891,SPSB1
ENST00000357898,SPSB1
ENST00000377399,SPSB1
ENST00000302692,SLC25A33
ENST000003403811,TMEM201
ENST00000340305,TMEM201
ENST00000377346,PIK3CD
ENST00000536656,PIK3CD
ENST00000628140,PIK3CD
ENST00000543390,PIK3CD
ENST00000361110,PIK3CD
ENST00000377298,CLSTN1
ENST00000361311,CLSTN1
ENST00000377263,CTNNBIP1
ENST00000400904,CTNNBIP1
ENST00000377258,CTNNBIP1
ENST00000377256,CTNNBIP1
ENST00000377223,LZIC
ENST00000400903,LZIC
ENST00000377213,LZIC
ENST00000403197,NMNAT1
ENST00000377205,NMNAT1
ENST00000294435,RBP7
ENST000002532512,UBE4B
ENST00000672724,UBE4B
ENST000003430901,UBE4B
ENST00000377153,UBE4B
ENST00000377093,KIF1B
ENST00000676179,KIF1B
ENST000002639340,KIF1B
ENST00000377086,KIF1B
ENST00000377083,KIF1B
ENST00000377081,KIF1B
ENST00000620295,KIF1B
ENST00000622724,KIF1B
ENST000002707763,PGD
ENST00000400900,CENPS-CORT
ENST00000470413,CENPS-CORT
ENST00000602787,CENPS-CORT
ENST00000602296,CENPS-CORT
ENST00000465026,CENPS-CORT
ENST00000309048,CENPS
ENST00000462462,CENPS
ENST00000377049,CORT
ENST00000377038,DFFA
ENST00000377036,DFFA
ENST00000356607,PEX14
ENST00000377022,CASZ1
ENST00000344008,CASZ1
ENST00000377004,C1orf127
ENST00000639083,TARDBP
ENST00000629725,TARDBP
ENST00000240185,TARDBP
ENST00000315091,TARDBP
ENST00000649624,TARDBP
ENST00000616545,TARDBP
ENST00000621790,TARDBP
ENST00000400897,MASP2
ENST00000400898,MASP2
ENST00000376957,SRM
ENST000003044571,EXOSC10
ENST00000376936,EXOSC10
ENST00000376838,MTOR
ENST00000361445,MTOR
ENST00000376819,ANGPTL7
ENST00000376810,UBIAD1
ENST00000376804,UBIAD1
ENST00000294484,DISP3
ENST00000304391,DISP3
ENST00000354287,FBXO2
ENST00000251546,FBXO44
ENST00000376770,FBXO44
ENST000002515470,FBXO44
