ensembl_transcript_id_version,ensembl_gene_id_version
ENST00000641515,ENSG00000186092
ENST00000426406,ENSG00000284733
ENST00000332831,ENSG00000284662
ENST00000616016,ENSG000001876343
ENST00000618323,ENSG000001876343
ENST00000342066,ENSG000001876343
ENST00000327044,ENSG000001889761
ENST00000338591,ENSG000001879614
ENST00000622660,ENSG000001879614
ENST00000379410,ENSG000001875831
ENST00000379407,ENSG000001875831
ENST00000379409,ENSG000001875831
ENST00000341290,ENSG00000187642
ENST00000433179,ENSG00000187642
ENST00000428771,ENSG000001882901
ENST000003049521,ENSG000001882901
ENST00000484667,ENSG000001882901
ENST00000624697,ENSG000001876080
ENST00000649529,ENSG000001876080
ENST00000379370,ENSG000001881575
ENST00000620552,ENSG000001881575
ENST00000453464,ENSG00000237330
ENST00000379339,ENSG000001315918
ENST00000421241,ENSG000001315918
ENST00000379320,ENSG000001315918
ENST00000379319,ENSG000001315918
ENST00000379290,ENSG000001625714
ENST00000379289,ENSG000001625714
ENST00000379288,ENSG000001625714
ENST000003285960,ENSG000001868914
ENST00000379268,ENSG000001868914
ENST00000486728,ENSG000001868914
ENST00000379265,ENSG000001868914
ENST00000379236,ENSG000001868271
ENST00000660930,ENSG000000788089
ENST000003600012,ENSG000000788089
ENST000002637412,ENSG000000788089
ENST00000379198,ENSG00000176022
ENST00000330388,ENSG00000184163
ENST000003494311,ENSG000001600871
ENST00000347370,ENSG000001600871
ENST00000400929,ENSG000001600871
ENST00000360466,ENSG000001600871
ENST00000400930,ENSG000001600871
ENST000003791160,ENSG000001625721
ENST00000338555,ENSG000001625721
ENST00000400928,ENSG000001625721
ENST000003254252,ENSG000001625721
ENST000003547000,ENSG000001315849
ENST00000353662,ENSG000001315849
ENST000003790310,ENSG000001699722
ENST00000540437,ENSG000001270541
ENST00000545578,ENSG000001270541
ENST00000620829,ENSG000001270541
ENST00000618806,ENSG000001270541
ENST00000435064,ENSG000001270541
ENST00000411962,ENSG000001270541
ENST00000421495,ENSG000001270541
ENST00000419704,ENSG000001270541
ENST00000450926,ENSG000001270541
ENST00000429572,ENSG000001270541
ENST00000343938,ENSG00000224051
ENST00000339381,ENSG00000169962
ENST00000378891,ENSG000001074040
ENST000003788880,ENSG000001074040
ENST00000610709,ENSG000001074040
ENST00000342753,ENSG000001625767
ENST000003092121,ENSG000001625767
ENST00000445648,ENSG000001625767
ENST00000477278,ENSG000001625767
ENST00000338370,ENSG000001757563
ENST00000338338,ENSG000001757563
ENST00000321751,ENSG000001757563
ENST00000378853,ENSG000001757563
ENST00000400809,ENSG000002219782
ENST00000408952,ENSG000002219782
ENST00000408918,ENSG000002219782
ENST000003448432,ENSG00000242485
ENST00000482352,ENSG00000242485
ENST00000537107,ENSG00000235098
ENST00000520296,ENSG00000235098
ENST00000427211,ENSG00000235098
ENST00000454272,ENSG00000235098
ENST00000442470,ENSG00000235098
ENST00000378821,ENSG00000205116
ENST00000338660,ENSG000001794032
ENST00000476993,ENSG000001794032
ENST00000378785,ENSG000002159150
ENST00000673477,ENSG000001600720
ENST00000308647,ENSG000001600720
ENST00000378756,ENSG000001977854
ENST00000378755,ENSG000001977854
ENST00000536055,ENSG000001977854
ENST00000378733,ENSG00000205090
ENST00000425828,ENSG00000205090
ENST00000624426,ENSG00000205090
ENST00000291386,ENSG000001600752
ENST00000359060,ENSG000001600752
ENST00000422725,ENSG00000228594
ENST000003558260,ENSG000001975303
ENST00000505820,ENSG000001975303
ENST00000518681,ENSG000001975303
ENST00000520777,ENSG000001975303
ENST00000378712,ENSG000001975303
ENST00000504599,ENSG000001975303
ENST00000378708,ENSG000001975303
ENST000003560260,ENSG000001894094
ENST00000378675,ENSG000001894094
ENST000003418321,ENSG00000248333
ENST00000407249,ENSG00000248333
ENST00000340677,ENSG00000248333
ENST00000626918,ENSG00000248333
ENST00000629289,ENSG00000248333
ENST00000629312,ENSG00000248333
ENST00000614300,ENSG000001893392
ENST00000617444,ENSG000001893392
ENST00000611123,ENSG000001893392
ENST00000404249,ENSG000000081283
ENST00000356200,ENSG000000081283
ENST00000378638,ENSG000000081283
ENST00000357760,ENSG000000081283
ENST00000358779,ENSG000000081283
ENST00000378633,ENSG000000081283
ENST00000341426,ENSG000000081305
ENST00000341991,ENSG000000081305
ENST00000378625,ENSG000000081305
ENST00000610897,ENSG000000783698
ENST00000615252,ENSG000000783698
ENST00000378609,ENSG000000783698
ENST00000307786,ENSG000001698850
ENST00000378602,ENSG000001788213
ENST00000310991,ENSG000001788213
ENST00000493964,ENSG000001426099
ENST00000682832,ENSG000001426099
ENST00000378585,ENSG00000187730
ENST00000640067,ENSG00000187730
ENST00000638771,ENSG00000187730
ENST00000640949,ENSG00000187730
ENST00000400921,ENSG000000676067
ENST00000400919,ENSG000001625857
ENST00000378546,ENSG000001625857
ENST00000378536,ENSG000001579330
ENST00000378531,ENSG000001161514
ENST00000378529,ENSG000001161514
ENST00000378513,ENSG000001579160
ENST00000378518,ENSG000001579160
ENST00000605895,ENSG000001579160
ENST00000378512,ENSG000001579160
ENST00000488353,ENSG000001579160
ENST00000288774,ENSG000001579111
ENST00000447513,ENSG000001579111
ENST00000507596,ENSG000001579111
ENST00000449969,ENSG000001495278
ENST00000378486,ENSG000001495278
ENST00000419816,ENSG000001495278
ENST00000378466,ENSG000001578816
ENST00000435556,ENSG000001578816
ENST00000378453,ENSG00000197921
ENST00000409119,ENSG000001578738
ENST00000355716,ENSG000001578738
ENST00000444521,ENSG000001578707
ENST00000378425,ENSG000001578707
ENST00000419916,ENSG000001578707
ENST00000378424,ENSG000001578707
ENST00000537325,ENSG000001578707
ENST00000378427,ENSG000001578707
ENST00000378412,ENSG000001426066
ENST00000502556,ENSG000001426066
ENST00000401095,ENSG000002159122
ENST00000637179,ENSG000002159122
ENST00000378404,ENSG00000169717
ENST00000511072,ENSG000001426117
ENST00000378391,ENSG000001426117
ENST000002707220,ENSG000001426117
ENST00000514189,ENSG000001426117
ENST00000378378,ENSG000001307625
ENST00000378373,ENSG000001307625
ENST00000378371,ENSG000001307625
ENST00000356575,ENSG000001625916
ENST00000294599,ENSG000001625916
ENST00000378344,ENSG000001581095
ENST00000344579,ENSG000001581095
ENST00000378322,ENSG000001162136
ENST000002707082,ENSG000001162136
ENST00000378295,ENSG000000789005
ENST00000604074,ENSG000000789005
ENST00000354437,ENSG000000789005
ENST00000357733,ENSG000000789005
ENST00000346387,ENSG000000789005
ENST00000603362,ENSG000000789005
ENST00000604479,ENSG000000789005
ENST00000378285,ENSG000000789005
ENST00000378280,ENSG000000789005
ENST00000378288,ENSG000000789005
ENST00000378290,ENSG000000789005
ENST00000294600,ENSG000001625920
ENST00000642557,ENSG000002351691
ENST00000561886,ENSG000002351691
ENST00000444870,ENSG000002351691
ENST00000378251,ENSG000001307640
ENST00000676052,ENSG000001161984
ENST00000378230,ENSG000001161984
ENST00000674623,ENSG000001161984
ENST00000675677,ENSG000001161984
ENST00000675666,ENSG000001161984
ENST00000674558,ENSG000001161984
ENST00000674544,ENSG000001161984
ENST00000675375,ENSG000001161984
ENST00000428079,ENSG000001161984
ENST00000461667,ENSG000001161984
ENST00000494653,ENSG000001161984
ENST00000378223,ENSG000001161984
ENST00000625756,ENSG000001695987
ENST00000338895,ENSG000001695987
ENST00000378209,ENSG000001695987
ENST00000361605,ENSG000001989122
ENST00000680169,ENSG000001989122
ENST00000680535,ENSG000001989122
ENST00000378191,ENSG000001965811
ENST00000378190,ENSG000001965811
ENST00000378156,ENSG000001316978
ENST00000622020,ENSG000001316978
ENST00000378097,ENSG000000694245
ENST00000666163,ENSG000000694245
ENST00000671676,ENSG000000694245
ENST00000653262,ENSG000000694245
ENST00000341524,ENSG000000694245
ENST00000462676,ENSG000000694245
ENST00000428161,ENSG000000694245
ENST00000352527,ENSG000000694245
ENST00000663169,ENSG000000694245
ENST00000656198,ENSG000000694245
ENST00000602612,ENSG000000694245
ENST00000666299,ENSG000000694245
ENST00000652845,ENSG000000694245
ENST00000669250,ENSG000000694245
ENST00000164247,ENSG000000694245
ENST00000668559,ENSG000000694245
ENST00000378092,ENSG000000694245
ENST00000472700,ENSG000000694245
ENST00000378083,ENSG000000694245
ENST00000458166,ENSG000000694245
ENST00000662363,ENSG000000694245
ENST00000262450,ENSG000001162548
ENST00000484532,ENSG00000285629
ENST00000234875,ENSG000001162511
ENST00000497965,ENSG000001162511
ENST00000377939,ENSG000001582863
ENST000003438130,ENSG000001162376
ENST00000377898,ENSG00000173673
ENST00000377893,ENSG00000158292
ENST00000608083,ENSG000000970210
ENST00000361521,ENSG000000970210
ENST00000377842,ENSG000000970210
ENST00000377845,ENSG000000970210
ENST00000377855,ENSG000000970210
ENST00000545482,ENSG000000970210
ENST00000377837,ENSG000000698121
ENST00000377836,ENSG000000698121
ENST00000377834,ENSG000000698121
ENST00000487437,ENSG000000698121
ENST00000489730,ENSG000000698121
ENST00000645284,ENSG000001870177
ENST00000636330,ENSG000001870177
ENST00000416731,ENSG000001870177
ENST00000461727,ENSG000001870177
ENST00000356876,ENSG000002157881
ENST00000377782,ENSG000002157881
ENST00000351959,ENSG000002157881
ENST00000348333,ENSG000002157881
ENST00000351748,ENSG000002157881
ENST00000535355,ENSG000001716803
ENST00000400913,ENSG000001716803
ENST00000377725,ENSG000001716803
ENST000003408500,ENSG000001716803
ENST00000377728,ENSG000001716803
ENST00000377748,ENSG000001716803
ENST00000377732,ENSG000001716803
ENST00000400915,ENSG000001716803
ENST00000673471,ENSG000001716803
ENST00000377740,ENSG000001716803
ENST00000675694,ENSG000001716803
ENST00000675123,ENSG000001716803
ENST00000537245,ENSG000001716803
ENST00000377705,ENSG000001624081
ENST000003331721,ENSG000001736621
ENST00000351136,ENSG000001736621
ENST00000377674,ENSG000002048593
ENST00000377658,ENSG000001624136
ENST00000377663,ENSG000001624136
ENST00000467612,ENSG000001624136
ENST00000610898,ENSG000001624136
ENST00000463043,ENSG000001624136
ENST00000377648,ENSG00000116273
ENST00000054650,ENSG000000419885
ENST000003078960,ENSG000000419885
ENST00000377627,ENSG000000419885
ENST000003775770,ENSG000000079236
ENST000002944011,ENSG000000079236
ENST000003036352,ENSG000001717359
ENST00000473578,ENSG000001717359
ENST00000557126,ENSG000001717359
ENST00000467404,ENSG000001717359
ENST00000476864,ENSG000001717359
ENST000000546661,ENSG000000492453
ENST00000470357,ENSG000000492453
ENST00000377532,ENSG000000492465
ENST00000377541,ENSG000000492465
ENST00000613533,ENSG000000492465
ENST00000614998,ENSG000000492465
ENST00000361923,ENSG000000492465
ENST00000377516,ENSG000000492474
ENST000003616960,ENSG000000492474
ENST00000054668,ENSG000000492474
ENST00000377507,ENSG00000049249
ENST00000615230,ENSG00000049249
ENST00000493678,ENSG000001162883
ENST00000377493,ENSG000001162883
ENST000003386390,ENSG000001162883
ENST00000377491,ENSG000001162883
ENST00000377488,ENSG000001162883
ENST00000474874,ENSG000001162853
ENST000003774820,ENSG000001162853
ENST00000467067,ENSG000001162853
ENST00000469499,ENSG000001162853
ENST00000471889,ENSG000001624266
ENST00000289877,ENSG000001624266
ENST00000337907,ENSG000001425999
ENST00000400908,ENSG000001425999
ENST00000377464,ENSG000001425999
ENST00000400907,ENSG000001425999
ENST00000476556,ENSG000001425999
ENST00000659924,ENSG000001425999
ENST000002345900,ENSG000000748006
ENST00000647408,ENSG000000748006
ENST00000377443,ENSG000001316865
ENST00000480186,ENSG000001316865
ENST00000377436,ENSG000001316865
ENST00000377442,ENSG000001316865
ENST00000400906,ENSG00000197241
ENST00000377424,ENSG000001425838
ENST00000377414,ENSG000001425838
ENST00000377411,ENSG000001807582
ENST00000377403,ENSG000000492393
ENST00000602477,ENSG000000492393
ENST000003280891,ENSG000001716214
ENST00000357898,ENSG000001716214
ENST00000377399,ENSG000001716214
ENST00000302692,ENSG00000171612
ENST000003403811,ENSG000001888073
ENST00000340305,ENSG000001888073
ENST00000377346,ENSG000001716086
ENST00000536656,ENSG000001716086
ENST00000628140,ENSG000001716086
ENST00000543390,ENSG000001716086
ENST00000361110,ENSG000001716086
ENST00000377298,ENSG000001716038
ENST00000361311,ENSG000001716038
ENST00000377263,ENSG000001785855
ENST00000400904,ENSG000001785855
ENST00000377258,ENSG000001785855
ENST00000377256,ENSG000001785855
ENST00000377223,ENSG000001624412
ENST00000400903,ENSG000001624412
ENST00000377213,ENSG000001624412
ENST00000403197,ENSG000001736144
ENST00000377205,ENSG000001736144
ENST00000294435,ENSG000001624442
ENST000002532512,ENSG000001309390
ENST00000672724,ENSG000001309390
ENST000003430901,ENSG000001309390
ENST00000377153,ENSG000001309390
ENST00000377093,ENSG000000545239
ENST00000676179,ENSG000000545239
ENST000002639340,ENSG000000545239
ENST00000377086,ENSG000000545239
ENST00000377083,ENSG000000545239
ENST00000377081,ENSG000000545239
ENST00000620295,ENSG000000545239
ENST00000622724,ENSG000000545239
ENST000002707763,ENSG000001426571
ENST00000400900,ENSG00000251503
ENST00000470413,ENSG00000251503
ENST00000602787,ENSG00000251503
ENST00000602296,ENSG00000251503
ENST00000465026,ENSG00000251503
ENST00000309048,ENSG000001752792
ENST00000462462,ENSG000001752792
ENST00000377049,ENSG00000241563
ENST00000377038,ENSG000001600492
ENST00000377036,ENSG000001600492
ENST00000356607,ENSG000001426553
ENST00000377022,ENSG000001309405
ENST00000344008,ENSG000001309405
ENST00000377004,ENSG000001752624
ENST00000639083,ENSG000001209489
ENST00000629725,ENSG000001209489
ENST00000240185,ENSG000001209489
ENST00000315091,ENSG000001209489
ENST00000649624,ENSG000001209489
ENST00000616545,ENSG000001209489
ENST00000621790,ENSG000001209489
ENST00000400897,ENSG000000097247
ENST00000400898,ENSG000000097247
ENST00000376957,ENSG000001166490
ENST000003044571,ENSG000001718244
ENST00000376936,ENSG000001718244
ENST00000376838,ENSG000001987933
ENST00000361445,ENSG000001987933
ENST00000376819,ENSG00000171819
ENST00000376810,ENSG000001209424
ENST00000376804,ENSG000001209424
ENST00000294484,ENSG00000204624
ENST00000304391,ENSG00000204624
ENST00000354287,ENSG000001166611
ENST00000251546,ENSG000001328794
ENST00000376770,ENSG000001328794
ENST000002515470,ENSG000001328794
ENST00000376768,ENSG000001328794
ENST00000376760,ENSG000001328794
ENST00000376762,ENSG000001328794
ENST00000376753,ENSG000001166631
ENST00000376692,ENSG000001166705
ENST00000235310,ENSG000001166705
ENST00000376672,ENSG000001166705
ENST00000376669,ENSG000001166705
ENST00000376667,ENSG000001166705
ENST00000294485,ENSG00000162490
ENST00000376637,ENSG000001776746
ENST00000400895,ENSG000001776746
ENST000003143400,ENSG000001776746
ENST00000376629,ENSG000001776746
ENST00000376627,ENSG000001776746
ENST00000452018,ENSG000001776746
ENST00000510878,ENSG000001776746
ENST00000433342,ENSG00000215910
ENST00000376592,ENSG000001770003
ENST00000376590,ENSG000001770003
ENST00000376583,ENSG000001770003
ENST00000376585,ENSG000001770003
ENST00000423400,ENSG000001770003
ENST00000641407,ENSG000001770003
ENST00000641820,ENSG000001770003
ENST000003124130,ENSG000000110213
ENST000003464361,ENSG000000110213
ENST00000376496,ENSG000000110213
ENST00000376480,ENSG000001752060
ENST00000610706,ENSG000001752060
ENST00000376476,ENSG000001752060
ENST00000376468,ENSG00000120937
ENST00000376572,ENSG000001166856
ENST00000616327,ENSG000001166856
ENST00000376576,ENSG000001166856
ENST00000196061,ENSG000000834447
ENST00000444836,ENSG000001166888
ENST00000674817,ENSG000001166888
ENST00000675053,ENSG000001166888
ENST00000675817,ENSG000001166888
ENST00000675298,ENSG000001166888
ENST00000674548,ENSG000001166888
ENST00000674658,ENSG000001166888
ENST00000674910,ENSG000001166888
ENST00000675231,ENSG000001166888
ENST00000675113,ENSG000001166888
ENST000002353290,ENSG000001166888
ENST00000676293,ENSG000001166888
ENST00000675919,ENSG000001166888
ENST00000235332,ENSG000001166911
ENST00000263932,ENSG000001209495
ENST00000417814,ENSG000001209495
ENST00000413146,ENSG000001209495
ENST00000376259,ENSG000000281379
ENST00000536782,ENSG000000281379
ENST00000620676,ENSG000000487075
ENST00000613099,ENSG000000487075
ENST00000543766,ENSG000000487075
ENST00000616661,ENSG00000162496
ENST00000376221,ENSG00000204518
ENST00000359318,ENSG000001889842
ENST00000614859,ENSG000001573300
ENST00000376210,ENSG000001573300
ENST00000357726,ENSG00000116726
ENST00000332296,ENSG00000116721
ENST00000619922,ENSG00000239810
ENST00000317869,ENSG000001791720
ENST00000240189,ENSG00000120952
ENST00000235349,ENSG00000243073
ENST00000235347,ENSG00000187545
ENST00000616979,ENSG00000204510
ENST00000330881,ENSG00000204510
ENST00000415464,ENSG00000232423
ENST00000376189,ENSG00000232423
ENST00000436041,ENSG00000274764
ENST00000617807,ENSG00000277058
ENST00000681473,ENSG00000277058
ENST00000614839,ENSG00000229571
ENST00000619661,ENSG00000229571
ENST00000621994,ENSG00000275774
ENST00000624207,ENSG00000280267
ENST00000323770,ENSG000001794121
ENST00000415919,ENSG00000204505
ENST00000625019,ENSG00000279169
ENST00000638454,ENSG00000279169
ENST00000624297,ENSG00000279804
ENST00000622421,ENSG00000270601
ENST00000357367,ENSG000001823300
ENST00000621519,ENSG000001823300
ENST00000614831,ENSG000001823300
ENST00000437300,ENSG00000237700
ENST00000376152,ENSG00000204501
ENST00000334600,ENSG00000204481
ENST00000376101,ENSG00000204480
ENST00000376098,ENSG00000204479
